road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,queue_percentage,travel_time,waiting_time_in_sec,speed,notes
1,1,2,0600:00_0601:00,0.000,8.000,0.000,0.000,0.000,0.000,0.000,360.000,simulation-based
1,1,2,0601:00_0602:00,8.000,19.000,8.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0602:00_0603:00,11.000,31.000,19.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0603:00_0604:00,12.000,48.000,31.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0604:00_0605:00,17.000,60.000,48.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0605:00_0606:00,12.000,78.000,60.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0606:00_0607:00,18.000,94.000,78.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0607:00_0608:00,16.000,109.000,94.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0608:00_0609:00,15.000,126.000,109.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0609:00_0610:00,17.000,142.000,126.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0610:00_0611:00,16.000,159.000,142.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0611:00_0612:00,17.000,179.000,159.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0612:00_0613:00,20.000,194.000,179.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0613:00_0614:00,15.000,210.000,194.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0614:00_0615:00,16.000,229.000,210.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0615:00_0616:00,19.000,244.000,229.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0616:00_0617:00,15.000,259.000,244.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0617:00_0618:00,15.000,280.000,259.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0618:00_0619:00,21.000,296.000,280.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0619:00_0620:00,16.000,313.000,296.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0620:00_0621:00,17.000,330.000,313.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0621:00_0622:00,17.000,347.000,330.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0622:00_0623:00,17.000,365.000,347.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0623:00_0624:00,18.000,382.000,365.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0624:00_0625:00,17.000,397.000,382.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0625:00_0626:00,15.000,413.000,397.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0626:00_0627:00,16.000,431.000,413.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0627:00_0628:00,18.000,447.000,431.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0628:00_0629:00,16.000,465.000,447.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0629:00_0630:00,18.000,483.000,465.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0630:00_0631:00,18.000,499.000,483.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0631:00_0632:00,16.000,514.000,499.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0632:00_0633:00,15.000,531.000,514.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0633:00_0634:00,17.000,550.000,531.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0634:00_0635:00,19.000,568.000,550.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0635:00_0636:00,18.000,585.000,568.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0636:00_0637:00,17.000,601.000,585.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0637:00_0638:00,16.000,614.000,601.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0638:00_0639:00,13.000,636.000,614.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0639:00_0640:00,22.000,652.000,636.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0640:00_0641:00,16.000,669.000,652.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0641:00_0642:00,17.000,686.000,669.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0642:00_0643:00,17.000,704.000,686.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0643:00_0644:00,18.000,719.000,704.000,0.000,0.000,1.000,0.000,360.000,simulation-based
1,1,2,0644:00_0645:00,15.000,737.000,719.000,0.000,0.000,1.000,0.000,360.000,simulation-based
