project_name,aggregation_interval (min),display_link_index,from_node_id,to_node_id,link_name,timestamp (min),hour,min,Link Inflow Volume (vph),Link Outflow Volume (vph),Lane Inflow Volume(vphpl),Speed,Density (vpmpl),Queue Length as Percentage of Link Length,Cumulative Arrival Count,Cumulative Departure Count,
node,1,1,30,31, ,0,0,0,0,-4.84289e-39,0,0,0,0,0,0,
node,1,2,30,31, ,1,0,1,0,0,0,0,0,0,0,0,
node,1,3,30,31, ,2,0,2,0,0,0,0,0,0,0,0,
node,1,4,30,31, ,3,0,3,0,0,0,0,0,0,0,0,
node,1,5,30,31, ,4,0,4,0,0,0,0,0,0,0,0,
node,1,6,30,31, ,5,0,5,0,0,0,0,0,0,0,0,
node,1,7,30,31, ,6,0,6,0,0,0,0,0,0,0,0,
node,1,8,30,31, ,7,0,7,0,0,0,0,0,0,0,0,
node,1,9,30,31, ,8,0,8,0,0,0,0,0,0,0,0,
node,1,10,30,31, ,9,0,9,0,0,0,0,0,0,0,0,
node,1,11,30,31, ,10,0,10,0,0,0,0,0,0,0,0,
node,1,12,30,31, ,11,0,11,0,0,0,0,0,0,0,0,
node,1,13,30,31, ,12,0,12,0,0,0,0,0,0,0,0,
node,1,14,30,31, ,13,0,13,0,0,0,0,0,0,0,0,
node,1,15,30,31, ,14,0,14,0,0,0,0,0,0,0,0,
node,1,16,30,31, ,15,0,15,0,0,0,0,0,0,0,0,
node,1,17,30,31, ,16,0,16,0,0,0,0,0,0,0,0,
node,1,18,30,31, ,17,0,17,0,0,0,0,0,0,0,0,
node,1,19,30,31, ,18,0,18,0,0,0,0,0,0,0,0,
node,1,20,30,31, ,19,0,19,0,0,0,0,0,0,0,0,
node,1,21,30,31, ,20,0,20,0,0,0,0,0,0,0,0,
node,1,22,30,31, ,21,0,21,0,0,0,0,0,0,0,0,
node,1,23,30,31, ,22,0,22,0,0,0,0,0,0,0,0,
node,1,24,30,31, ,23,0,23,0,0,0,0,0,0,0,0,
node,1,25,30,31, ,24,0,24,0,0,0,0,0,0,0,0,
node,1,26,30,31, ,25,0,25,0,0,0,0,0,0,0,0,
node,1,27,30,31, ,26,0,26,0,0,0,0,0,0,0,0,
node,1,28,30,31, ,27,0,27,0,0,0,0,0,0,0,0,
node,1,29,30,31, ,28,0,28,0,0,0,0,0,0,0,0,
node,1,30,30,31, ,29,0,29,0,0,0,0,0,0,0,0,
node,1,31,30,31, ,30,0,30,0,0,0,0,0,0,0,0,
node,1,32,30,31, ,31,0,31,0,0,0,0,0,0,0,0,
node,1,33,30,31, ,32,0,32,0,0,0,0,0,0,0,0,
node,1,34,30,31, ,33,0,33,0,0,0,0,0,0,0,0,
node,1,35,30,31, ,34,0,34,0,0,0,0,0,0,0,0,
node,1,36,30,31, ,35,0,35,0,0,0,0,0,0,0,0,
node,1,37,30,31, ,36,0,36,0,0,0,0,0,0,0,0,
node,1,38,30,31, ,37,0,37,0,0,0,0,0,0,0,0,
node,1,39,30,31, ,38,0,38,0,0,0,0,0,0,0,0,
node,1,40,30,31, ,39,0,39,0,0,0,0,0,0,0,0,
node,1,41,30,31, ,40,0,40,0,0,0,0,0,0,0,0,
node,1,42,30,31, ,41,0,41,0,0,0,0,0,0,0,0,
node,1,43,30,31, ,42,0,42,0,0,0,0,0,0,0,0,
node,1,44,30,31, ,43,0,43,0,0,0,0,0,0,0,0,
node,1,45,30,31, ,44,0,44,0,0,0,0,0,0,0,0,
node,1,46,30,31, ,45,0,45,0,0,0,0,0,0,0,0,
node,1,47,30,31, ,46,0,46,0,0,0,0,0,0,0,0,
node,1,48,30,31, ,47,0,47,0,0,0,0,0,0,0,0,
node,1,49,30,31, ,48,0,48,0,0,0,0,0,0,0,0,
node,1,50,30,31, ,49,0,49,0,0,0,0,0,0,0,0,
node,1,51,30,31, ,50,0,50,0,0,0,0,0,0,0,0,
node,1,52,30,31, ,51,0,51,0,0,0,0,0,0,0,0,
node,1,53,30,31, ,52,0,52,0,0,0,0,0,0,0,0,
node,1,54,30,31, ,53,0,53,0,0,0,0,0,0,0,0,
node,1,55,30,31, ,54,0,54,0,0,0,0,0,0,0,0,
node,1,56,30,31, ,55,0,55,0,0,0,0,0,0,0,0,
node,1,57,30,31, ,56,0,56,0,0,0,0,0,0,0,0,
node,1,58,30,31, ,57,0,57,0,0,0,0,0,0,0,0,
node,1,59,30,31, ,58,0,58,0,0,0,0,0,0,0,0,
node,1,60,30,31, ,59,0,59,0,0,0,0,0,0,0,0,
node,1,61,30,31, ,60,1,59,0,0,0,0,0,0,0,0,
node,1,62,30,31, ,61,1,60,0,0,0,0,0,0,0,0,
node,1,63,30,31, ,62,1,61,0,0,0,0,0,0,0,0,
node,1,64,30,31, ,63,1,62,0,0,0,0,0,0,0,0,
node,1,65,30,31, ,64,1,63,0,0,0,0,0,0,0,0,
node,1,66,30,31, ,65,1,64,0,0,0,0,0,0,0,0,
node,1,67,30,31, ,66,1,65,0,0,0,0,0,0,0,0,
node,1,68,30,31, ,67,1,66,0,0,0,0,0,0,0,0,
node,1,69,30,31, ,68,1,67,0,0,0,0,0,0,0,0,
node,1,70,30,31, ,69,1,68,0,0,0,0,0,0,0,0,
node,1,71,30,31, ,70,1,69,0,0,0,0,0,0,0,0,
node,1,72,30,31, ,71,1,70,0,0,0,0,0,0,0,0,
node,1,73,30,31, ,72,1,71,0,0,0,0,0,0,0,0,
node,1,74,30,31, ,73,1,72,0,0,0,0,0,0,0,0,
node,1,75,30,31, ,74,1,73,0,0,0,0,0,0,0,0,
node,1,76,30,31, ,75,1,74,0,0,0,0,0,0,0,0,
node,1,77,30,31, ,76,1,75,0,0,0,0,0,0,0,0,
node,1,78,30,31, ,77,1,76,0,0,0,0,0,0,0,0,
node,1,79,30,31, ,78,1,77,0,0,0,0,0,0,0,0,
node,1,80,30,31, ,79,1,78,0,0,0,0,0,0,0,0,
node,1,81,30,31, ,80,1,79,0,0,0,0,0,0,0,0,
node,1,82,30,31, ,81,1,80,0,0,0,0,0,0,0,0,
node,1,83,30,31, ,82,1,81,0,0,0,0,0,0,0,0,
node,1,84,30,31, ,83,1,82,0,0,0,0,0,0,0,0,
node,1,85,30,31, ,84,1,83,0,0,0,0,0,0,0,0,
node,1,86,30,31, ,85,1,84,0,0,0,0,0,0,0,0,
node,1,87,30,31, ,86,1,85,0,0,0,0,0,0,0,0,
node,1,88,30,31, ,87,1,86,0,0,0,0,0,0,0,0,
node,1,89,30,31, ,88,1,87,0,0,0,0,0,0,0,0,
node,1,90,30,31, ,89,1,88,0,0,0,0,0,0,0,0,
node,1,91,30,31, ,90,1,89,0,0,0,0,0,0,0,0,
node,1,92,30,31, ,91,1,90,0,0,0,0,0,0,0,0,
node,1,93,30,31, ,92,1,91,0,0,0,0,0,0,0,0,
node,1,94,30,31, ,93,1,92,0,0,0,0,0,0,0,0,
node,1,95,30,31, ,94,1,93,0,0,0,0,0,0,0,0,
node,1,96,30,31, ,95,1,94,0,0,0,0,0,0,0,0,
node,1,97,30,31, ,96,1,95,0,0,0,0,0,0,0,0,
node,1,98,30,31, ,97,1,96,0,0,0,0,0,0,0,0,
node,1,99,30,31, ,98,1,97,0,0,0,0,0,0,0,0,
node,1,100,30,31, ,99,1,98,0,0,0,0,0,0,0,0,
node,1,101,30,31, ,100,1,99,0,0,0,0,0,0,0,0,
node,1,102,30,31, ,101,1,100,0,0,0,0,0,0,0,0,
node,1,103,30,31, ,102,1,101,0,0,0,0,0,0,0,0,
