from_node_id,to_node_id,time_window,time_interval,travel_time_delta,capacity,cycle_length
43,86,0700:00_0700:03,-1,-1,1.619292,60
43,87,0700:03_0700:05,-1,-1,1.619292,60
43,88,0700:03_0700:05,-1,-1,1.619292,60
55,89,0700:00_0700:03,-1,-1,1.619292,60
55,90,0700:03_0700:05,-1,-1,1.619292,60
55,91,0700:03_0700:05,-1,-1,1.619292,60
15,83,0700:05_0700:18,-1,-1,1.709253,60
15,84,0700:05_0700:18,-1,-1,6.47717,60
15,85,0700:05_0700:18,-1,-1,6.47717,60
3,80,0700:05_0700:18,-1,-1,1.619292,60
3,81,0700:05_0700:18,-1,-1,6.47717,60
3,82,0700:05_0700:18,-1,-1,6.47717,60
43,86,0700:30_0700:33,-1,-1,1.619292,60
43,87,0700:33_0700:35,-1,-1,1.619292,60
43,88,0700:33_0700:35,-1,-1,1.619292,60
55,89,0700:30_0700:33,-1,-1,1.619292,60
55,90,0700:33_0700:35,-1,-1,1.619292,60
55,91,0700:33_0700:35,-1,-1,1.619292,60
15,83,0700:35_0700:48,-1,-1,1.709253,60
15,84,0700:35_0700:48,-1,-1,6.47717,60
15,85,0700:35_0700:48,-1,-1,6.47717,60
3,80,0700:35_0700:48,-1,-1,1.619292,60
3,81,0700:35_0700:48,-1,-1,6.47717,60
3,82,0700:35_0700:48,-1,-1,6.47717,60
43,86,0701:00_0701:03,-1,-1,1.619292,60
43,87,0701:03_0701:05,-1,-1,1.619292,60
43,88,0701:03_0701:05,-1,-1,1.619292,60
55,89,0701:00_0701:03,-1,-1,1.619292,60
55,90,0701:03_0701:05,-1,-1,1.619292,60
55,91,0701:03_0701:05,-1,-1,1.619292,60
15,83,0701:05_0701:18,-1,-1,1.709253,60
15,84,0701:05_0701:18,-1,-1,6.47717,60
15,85,0701:05_0701:18,-1,-1,6.47717,60
3,80,0701:05_0701:18,-1,-1,1.619292,60
3,81,0701:05_0701:18,-1,-1,6.47717,60
3,82,0701:05_0701:18,-1,-1,6.47717,60
43,86,0701:30_0701:33,-1,-1,1.619292,60
43,87,0701:33_0701:35,-1,-1,1.619292,60
43,88,0701:33_0701:35,-1,-1,1.619292,60
55,89,0701:30_0701:33,-1,-1,1.619292,60
55,90,0701:33_0701:35,-1,-1,1.619292,60
55,91,0701:33_0701:35,-1,-1,1.619292,60
15,83,0701:35_0701:48,-1,-1,1.709253,60
15,84,0701:35_0701:48,-1,-1,6.47717,60
15,85,0701:35_0701:48,-1,-1,6.47717,60
3,80,0701:35_0701:48,-1,-1,1.619292,60
3,81,0701:35_0701:48,-1,-1,6.47717,60
3,82,0701:35_0701:48,-1,-1,6.47717,60
43,86,0702:00_0702:03,-1,-1,1.619292,60
43,87,0702:03_0702:05,-1,-1,1.619292,60
43,88,0702:03_0702:05,-1,-1,1.619292,60
55,89,0702:00_0702:03,-1,-1,1.619292,60
55,90,0702:03_0702:05,-1,-1,1.619292,60
55,91,0702:03_0702:05,-1,-1,1.619292,60
15,83,0702:05_0702:18,-1,-1,1.709253,60
15,84,0702:05_0702:18,-1,-1,6.47717,60
15,85,0702:05_0702:18,-1,-1,6.47717,60
3,80,0702:05_0702:18,-1,-1,1.619292,60
3,81,0702:05_0702:18,-1,-1,6.47717,60
3,82,0702:05_0702:18,-1,-1,6.47717,60
43,86,0702:30_0702:33,-1,-1,1.619292,60
43,87,0702:33_0702:35,-1,-1,1.619292,60
43,88,0702:33_0702:35,-1,-1,1.619292,60
55,89,0702:30_0702:33,-1,-1,1.619292,60
55,90,0702:33_0702:35,-1,-1,1.619292,60
55,91,0702:33_0702:35,-1,-1,1.619292,60
15,83,0702:35_0702:48,-1,-1,1.709253,60
15,84,0702:35_0702:48,-1,-1,6.47717,60
15,85,0702:35_0702:48,-1,-1,6.47717,60
3,80,0702:35_0702:48,-1,-1,1.619292,60
3,81,0702:35_0702:48,-1,-1,6.47717,60
3,82,0702:35_0702:48,-1,-1,6.47717,60
43,86,0703:00_0703:03,-1,-1,1.619292,60
43,87,0703:03_0703:05,-1,-1,1.619292,60
43,88,0703:03_0703:05,-1,-1,1.619292,60
55,89,0703:00_0703:03,-1,-1,1.619292,60
55,90,0703:03_0703:05,-1,-1,1.619292,60
55,91,0703:03_0703:05,-1,-1,1.619292,60
15,83,0703:05_0703:18,-1,-1,1.709253,60
15,84,0703:05_0703:18,-1,-1,6.47717,60
15,85,0703:05_0703:18,-1,-1,6.47717,60
3,80,0703:05_0703:18,-1,-1,1.619292,60
3,81,0703:05_0703:18,-1,-1,6.47717,60
3,82,0703:05_0703:18,-1,-1,6.47717,60
